Region=Segment 1
Label=Strip 0 X=151024.159034	Y=17169.136587
Label=Strip 1 X=150674.252540	Y=17093.173050
Label=Strip 2 X=151024.345515	Y=17018.136719
Label=Strip 3 X=150674.439021	Y=16942.173182
Label=Strip 4 X=151024.531996	Y=16867.136850
Label=Strip 5 X=150674.625502	Y=16791.173314
Label=Strip 6 X=151024.718477	Y=16716.136982
Label=Strip 7 X=150674.811983	Y=16640.173446
Label=Strip 8 X=151024.904958	Y=16565.137114
Label=Strip 9 X=150674.998464	Y=16489.173578
Label=Strip 10 X=151025.091439	Y=16414.137246
Label=Strip 11 X=150675.184945	Y=16338.173709
Label=Strip 12 X=151025.277921	Y=16263.137378
Label=Strip 13 X=150675.371427	Y=16187.173841
Label=Strip 14 X=151025.464402	Y=16112.137510
Label=Strip 15 X=150675.557908	Y=16036.173973
Label=Strip 16 X=151025.650883	Y=15961.137642
Label=Strip 17 X=150675.744389	Y=15885.174105
Label=Strip 18 X=151025.837364	Y=15810.137773
Label=Strip 19 X=150675.930870	Y=15734.174237
Label=Strip 20 X=151026.023845	Y=15659.137905
Label=Strip 21 X=150676.117351	Y=15583.174369
Label=Strip 22 X=151026.210326	Y=15508.138037
Label=Strip 23 X=150676.303832	Y=15432.174501
Label=Strip 24 X=151026.396807	Y=15357.138169
Label=Strip 25 X=150676.490313	Y=15281.174632
Label=Strip 26 X=151026.583289	Y=15206.138301
Label=Strip 27 X=150676.676795	Y=15130.174764
Label=Strip 28 X=151026.769770	Y=15055.138433
Label=Strip 29 X=150676.863276	Y=14979.174896
Label=Strip 30 X=151026.956251	Y=14904.138565
Label=Strip 31 X=150677.049757	Y=14828.175028
Label=Strip 32 X=151027.142732	Y=14753.138696
Label=Strip 33 X=150677.236238	Y=14677.175160
Label=Strip 34 X=151027.329213	Y=14602.138828
Label=Strip 35 X=150677.422719	Y=14526.175292
Label=Strip 36 X=151027.515694	Y=14451.138960
Label=Strip 37 X=150677.609200	Y=14375.175424
Label=Strip 38 X=151027.702175	Y=14300.139092
Label=Strip 39 X=150677.795682	Y=14224.175555
Label=Strip 40 X=151027.888657	Y=14149.139224
Label=Strip 41 X=150677.982163	Y=14073.175687
Label=Strip 42 X=151028.075138	Y=13998.139356
Label=Strip 43 X=150678.168644	Y=13922.175819
Label=Strip 44 X=151028.261619	Y=13847.139488
Label=Strip 45 X=150678.355125	Y=13771.175951
Label=Strip 46 X=151028.448100	Y=13696.139619
Label=Strip 47 X=150678.541606	Y=13620.176083
Label=Strip 48 X=151028.634581	Y=13545.139751
Label=Strip 49 X=150678.728087	Y=13469.176215
Label=Strip 50 X=151028.821062	Y=13394.139883
Label=Strip 51 X=150678.914568	Y=13318.176347
Label=Strip 52 X=151029.007544	Y=13243.140015
Label=Strip 53 X=150679.101050	Y=13167.176478
Label=Strip 54 X=151029.194025	Y=13092.140147
Label=Strip 55 X=150679.287531	Y=13016.176610
Label=Strip 56 X=151029.380506	Y=12941.140279
Label=Strip 57 X=150679.474012	Y=12865.176742
Label=Strip 58 X=151029.566987	Y=12790.140411
Label=Strip 59 X=150679.660493	Y=12714.176874
Label=Strip 60 X=151029.753468	Y=12639.140542
Label=Strip 61 X=150679.846974	Y=12563.177006
Label=Strip 62 X=151029.939949	Y=12488.140674
Label=Strip 63 X=150680.033455	Y=12412.177138
Label=Strip 64 X=151030.126430	Y=12337.140806
Label=Strip 65 X=150680.219936	Y=12261.177270
Label=Strip 66 X=151030.312912	Y=12186.140938
Label=Strip 67 X=150680.406418	Y=12110.177401
Label=Strip 68 X=151030.499393	Y=12035.141070
Label=Strip 69 X=150680.592899	Y=11959.177533
Label=Strip 70 X=151030.685874	Y=11884.141202
Label=Strip 71 X=150680.779380	Y=11808.177665
Label=Strip 72 X=151030.872355	Y=11733.141334
Label=Strip 73 X=150680.965861	Y=11657.177797
Label=Strip 74 X=151031.058836	Y=11582.141465
Label=Strip 75 X=150681.152342	Y=11506.177929
Label=Strip 76 X=151031.245317	Y=11431.141597
Label=Strip 77 X=150681.338823	Y=11355.178061
Label=Strip 78 X=151031.431798	Y=11280.141729
Label=Strip 79 X=150681.525305	Y=11204.178193
Label=Strip 80 X=151031.618280	Y=11129.141861
Label=Strip 81 X=150681.711786	Y=11053.178325
Label=Strip 82 X=151031.804761	Y=10978.141993
Label=Strip 83 X=150681.898267	Y=10902.178456
Label=Strip 84 X=151031.991242	Y=10827.142125
Label=Strip 85 X=150682.084748	Y=10751.178588
Label=Strip 86 X=151032.177723	Y=10676.142257
Label=Strip 87 X=150682.271229	Y=10600.178720
Label=Strip 88 X=151032.364204	Y=10525.142388
Label=Strip 89 X=150682.457710	Y=10449.178852
Label=Strip 90 X=151032.550685	Y=10374.142520
Label=Strip 91 X=150682.644191	Y=10298.178984
Label=Strip 92 X=151032.737166	Y=10223.142652
Label=Strip 93 X=150682.830673	Y=10147.179116
Label=Strip 94 X=151032.923648	Y=10072.142784
Label=Strip 95 X=150683.017154	Y=9996.179248
Label=Strip 96 X=151033.110129	Y=9921.142916
Label=Strip 97 X=150683.203635	Y=9845.179379
Label=Strip 98 X=151033.296610	Y=9770.143048
Label=Strip 99 X=150683.390116	Y=9694.179511
Label=Strip 100 X=151033.483091	Y=9619.143180
Label=Strip 101 X=150683.576597	Y=9543.179643
Label=Strip 102 X=151033.669572	Y=9468.143311
Label=Strip 103 X=150683.763078	Y=9392.179775
